id,texto_bruto
1,"O produto é bom, mas o preço está muito alto!!! Não comprarei de novo."
2,"Adorei o atendimento, cinco estrelas. super rápido e eficaz. :)"
3,"Uma porcaria. Atrasou 3 dias úteis. Nunca mais... #decepção"
4,"Eu avalio este serviço com nota 8.5/10. O cupom de 20% funcionou bem."
5,"Comprei 2 unidades em 2024 e o frete demorou 12 horas (surreal!)."
6,"O site está fora do ar desde 13/05/2025. Falha grave #erro 404"
7,"Eu penso que, talvez, estejamos atrasados na atualização. O sistema é tipo um lixo!"
8,"Achei o produto caro, mas, enfim, a qualidade é indiscutível! Recomendo a todos."
9,"Sabe, a entrega foi ok. Mas a embalagem estava meio rasgada, o que não gostei de jeito nenhum."
10,"Na verdade, o atendimento via chat é excelente. Eles me deram a resposta em 1 minuto, muito rápido."
11,"Eu, particularmente, acho que a cor verde não combinou. De toda forma, é funcional."
12,"Este é o segundo que eu compro. O primeiro durou 1 ano e 7 meses. Fantástico!"
13,"Achei super bacana o design, porém, a bateria dura pouco. Estou com um certo receio."
14,"Então, recebi a encomenda hoje. Veio bem rápido, mas eu agora não sei se vou usar."
